股票代码,股票名称,交易所
2251,步步高,深圳
2252,上海莱士,深圳
2253,川大智胜,深圳
2254,泰和新材,深圳
2255,*ST海陆,深圳
2256,*ST兆新,深圳
2258,利尔化学,深圳
2259,*ST升达,深圳
2260,*ST德奥,深圳
2261,拓维信息,深圳
2262,恩华药业,深圳
2263,*ST东南,深圳
2264,新华都,深圳
2265,西仪股份,深圳
2266,浙富控股,深圳
2267,陕天然气,深圳
2268,卫士通,深圳
2269,美邦服饰,深圳
2270,华明装备,深圳
2271,东方雨虹,深圳
2272,川润股份,深圳
2273,水晶光电,深圳
2274,华昌化工,深圳
2275,桂林三金,深圳
2276,万马股份,深圳
2277,友阿股份,深圳
2278,神开股份,深圳
2279,久其软件,深圳
2280,联络互动,深圳
2281,光迅科技,深圳
2282,博深股份,深圳
2283,天润工业,深圳
2284,亚太股份,深圳
2285,世联行,深圳
2286,保龄宝,深圳
2287,奇正藏药,深圳
2288,超华科技,深圳
2289,*ST宇顺,深圳
2290,*ST中科,深圳
2291,星期六,深圳
2292,奥飞娱乐,深圳
2293,罗莱生活,深圳
2294,信立泰,深圳
2295,精艺股份,深圳
2296,辉煌科技,深圳
2297,博云新材,深圳
2298,中电兴发,深圳
2299,圣农发展,深圳
2300,太阳电缆,深圳
2301,齐心集团,深圳
2302,西部建设,深圳
2303,美盈森,深圳
2304,洋河股份,深圳
2305,南国置业,深圳
2306,ST云网,深圳
2307,北新路桥,深圳
2308,威创股份,深圳
2309,中利集团,深圳
2310,东方园林,深圳
2311,海大集团,深圳
2312,三泰控股,深圳
2313,日海智能,深圳
2314,南山控股,深圳
2315,焦点科技,深圳
2316,亚联发展,深圳
2317,众生药业,深圳
2318,久立特材,深圳
2319,*ST乐通,深圳
2320,海峡股份,深圳
2321,华英农业,深圳
2322,理工环科,深圳
2323,*ST雅博,深圳
2324,普利特,深圳
2325,洪涛股份,深圳
2326,永太科技,深圳
2327,富安娜,深圳
2328,新朋股份,深圳
2329,皇氏集团,深圳
2330,得利斯,深圳
2331,皖通科技,深圳
2332,仙琚制药,深圳
2333,*ST罗普,深圳
2334,英威腾,深圳
2335,科华恒盛,深圳
2336,*ST人乐,深圳
2337,赛象科技,深圳
2338,奥普光电,深圳
2339,积成电子,深圳
2340,格林美,深圳
2341,新纶科技,深圳
2342,巨力索具,深圳
2343,慈文传媒,深圳
2344,海宁皮城,深圳
2345,潮宏基,深圳
2346,柘中股份,深圳
2347,泰尔股份,深圳
2348,高乐股份,深圳
2349,精华制药,深圳
2350,北京科锐,深圳
2351,漫步者,深圳
2352,顺丰控股,深圳
2353,杰瑞股份,深圳
2354,*ST天娱,深圳
2355,兴民智通,深圳
2356,*ST赫美,深圳
2357,富临运业,深圳
2358,森源电气,深圳
2359,*ST北讯,深圳
2360,同德化工,深圳
2361,神剑股份,深圳
2362,汉王科技,深圳
2363,隆基机械,深圳
2364,中恒电气,深圳
2365,永安药业,深圳
2366,台海核电,深圳
2367,康力电梯,深圳
2368,太极股份,深圳
2369,卓翼科技,深圳
2370,亚太药业,深圳
2371,北方华创,深圳
2372,伟星新材,深圳
2373,千方科技,深圳
2374,丽鹏股份,深圳
2375,亚厦股份,深圳
2376,新北洋,深圳
2377,国创高新,深圳
2378,章源钨业,深圳
2379,宏创控股,深圳
2380,科远智慧,深圳
2381,双箭股份,深圳
2382,蓝帆医疗,深圳
2383,合众思壮,深圳
2384,东山精密,深圳
2385,大北农,深圳
2386,天原集团,深圳
2387,维信诺,深圳
2388,新亚制程,深圳
2389,航天彩虹,深圳
2390,信邦制药,深圳
2391,长青股份,深圳
2392,北京利尔,深圳
2393,力生制药,深圳
2394,联发股份,深圳
2395,双象股份,深圳
2396,星网锐捷,深圳
2397,梦洁股份,深圳
2398,垒知集团,深圳
2399,海普瑞,深圳
2400,省广集团,深圳
2401,中远海科,深圳
2402,和而泰,深圳
2403,爱仕达,深圳
2404,嘉欣丝绸,深圳
2405,四维图新,深圳
2406,远东传动,深圳
2407,多氟多,深圳
2408,齐翔腾达,深圳
2409,雅克科技,深圳
2410,广联达,深圳
2411,延安必康,深圳
